Country,State,Year,Gender,Type Of Action Against The Crime,"Number Of Persons Arrested (UOM:Number), Scaling Factor:1"
India,Haryana,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Discharged,0
India,Haryana,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Acquitted,0
India,Haryana,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Arrested,1092
India,Haryana,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Charge sheeted,1040
India,Haryana,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Discharged,0
India,Haryana,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Acquitted,148
India,Haryana,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),,55
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Male,Persons Arrested,110
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Male,Persons Charge sheeted,378
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Male,Persons Convicted,9
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Male,Persons Discharged,5
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Male,Persons Acquitted,24
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Female,Persons Arrested,28
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Female,Persons Charge sheeted,116
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Female,Persons Convicted,4
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Female,Persons Discharged,3
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Female,Persons Acquitted,5
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Arrested,0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Charge sheeted,0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Convicted,0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Discharged,0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Acquitted,0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Arrested,138
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Charge sheeted,494
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Discharged,8
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Acquitted,29
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),,13
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022",Male,Persons Arrested,109
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022",Male,Persons Charge sheeted,112
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022",Male,Persons Convicted,4
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022",Male,Persons Discharged,0
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022",Male,Persons Acquitted,2
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022",Female,Persons Arrested,19
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022",Female,Persons Charge sheeted,22
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022",Female,Persons Convicted,0
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022",Female,Persons Discharged,0
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022",Female,Persons Acquitted,0
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Arrested,0
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Charge sheeted,0
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Convicted,0
