Country,Year,Gender,Crime Head,Action Against Crime,"Number Of Disposal Persons Arrested For Crime Against Senior Citizen (UOM:Number), Scaling Factor:1"
India,"Calendar Year (Jan - Dec), 2022",Transgender,Grievous Hurt,Persons Acquitted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Kidnapping and Abduction,Persons Arrested,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Kidnapping and Abduction,Persons Chargesheeted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Kidnapping and Abduction,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Kidnapping and Abduction,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Kidnapping and Abduction,Persons Acquitted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Murder,Persons Arrested,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Murder,Persons Chargesheeted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Murder,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Murder,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Murder,Persons Acquitted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Other IPC Crimes,Persons Arrested,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Other IPC Crimes,Persons Chargesheeted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Other IPC Crimes,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Other IPC Crimes,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Other IPC Crimes,Persons Acquitted,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Rape,Persons Arrested,0
India,"Calendar Year (Jan - Dec), 2022",Transgender,Rape,Persons Chargesheeted,0
